,Unnamed: 0,X,Y,B,G,R,Gx,Gy
28322,325017,92,41,232,155,0,0.0,0.0
25554,591791,94,71,104,155,0,0.0,0.0
7622,35431,58,15,227,134,0,0.0,0.0
31782,1672,58,76,68,74,102,0.0,0.09164721253127672
13448,423016,85,20,254,192,0,0.0,0.0
16512,406953,22,1,104,75,101,0.0,0.0
24896,508014,45,42,131,104,105,0.0,0.0
21030,432904,85,36,244,161,0,0.0,0.0
32830,2720,25,5,118,75,77,0.13826517935484947,0.04511221032887475
9297,236434,95,6,252,206,0,0.0,0.0
14891,22422,26,78,57,96,126,0.0,0.0
12282,1539,15,39,86,73,221,0.0,0.0
24145,311090,50,58,92,110,93,0.0,0.0
35227,5117,21,49,80,75,27,0.0,-0.1287068006749893
16081,267408,8,64,54,75,193,0.0,0.0
16659,331044,52,68,81,122,56,0.0,0.0
2669,262927,63,83,52,159,0,0.0,0.0
27474,262273,57,29,200,120,0,0.0,0.0
26361,295981,98,21,252,195,0,0.0,0.0
32537,2427,54,15,180,113,1,0.04511221032887475,-0.13826517935484947
12691,408542,37,90,53,123,35,0.0,0.0
35238,5128,20,54,68,66,200,0.0,0.09164721253127672
16175,120499,20,35,99,83,205,0.0,0.0
28274,513826,4,82,42,86,137,0.0,0.0
27511,457075,29,63,69,93,148,0.0,0.0
24945,343560,80,19,247,173,0,0.0,0.0
10792,319878,39,74,64,112,95,0.0,0.0
19691,469914,60,58,110,119,36,0.0,0.0
10818,541699,87,39,234,153,0,0.0,0.0
5151,85353,64,73,28,143,0,0.0,0.0
36764,6654,79,18,253,187,0,-0.0214106195359553,-0.1308992675592447
24249,33264,36,48,96,90,153,0.0,0.0
16775,248300,15,0,89,65,116,0.0,0.0
6831,394193,93,13,251,203,0,0.0,0.0
31682,1572,77,62,107,95,39,0.03088667636830605,0.03088667636830605
16202,564381,16,77,56,90,163,0.0,0.0
28417,145500,74,20,254,172,0,0.0,0.0
31956,1846,38,81,61,91,123,-0.04715256350368319,0.015699044804238282
7097,423622,91,26,254,188,0,0.0,0.0
30156,46,70,61,136,91,50,0.0927510698353074,0.01842431943322176
22306,576817,43,69,77,119,78,0.0,0.0
31307,1197,51,74,82,60,106,0.1308992675592447,0.0214106195359553
22055,333840,81,92,19,201,0,0.0,0.0
19571,524179,9,63,59,74,185,0.0,0.0
26466,208765,14,53,77,72,224,0.0,0.0
2184,246217,94,17,252,198,0,0.0,0.0
3487,241281,43,53,98,91,126,0.0,0.0
30159,49,70,64,114,93,57,0.03014605954138166,0.015067403328270003
36161,6051,50,33,94,76,126,0.048418578457614166,0.032252644421814865
26228,100589,18,69,67,88,184,0.0,0.0
4073,128606,2,70,54,66,155,0.0,0.0
6162,152169,42,17,160,107,63,0.0,0.0
29226,592282,99,62,153,142,0,0.0,0.0
9651,149490,14,10,92,72,157,0.0,0.0
6242,52135,27,75,61,97,127,0.0,0.0
